cliente,produto,cidade,quantidade,preco_unitario,data_venda
Daniela,Headset,Curitiba,3.0,1000.0,2023-05-14
Gabriel,Teclado,São Paulo,3.0,,2023-05-19
Carlos,Notebook,Curitiba,5.0,,2023-01-08
Carlos,Monitor,Curitiba,2.0,500.0,2023-01-04
Helena,Notebook,Rio,4.0,500.0,2023-04-07
Fernanda,Teclado,São Paulo,2.0,200.0,2023-03-06
Bruno,Mouse,Curitiba,2.0,300.0,2023-06-21
Carlos,Teclado,,2.0,,2023-06-19
Daniela,Teclado,Rio,4.0,1000.0,2023-03-19
Gabriel,Teclado,Curitiba,1.0,1000.0,2023-06-10
Eduardo,Headset,Salvador,4.0,1000.0,2023-02-17
Eduardo,Teclado,São Paulo,1.0,500.0,2023-02-01
Helena,Teclado,Salvador,1.0,,2023-04-16
Helena,Teclado,Curitiba,1.0,500.0,2023-01-16
Carlos,Mouse,São Paulo,,100.0,2023-01-08
Eduardo,Notebook,Curitiba,2.0,,2023-03-22
Fernanda,Notebook,Belo Horizonte,1.0,300.0,2023-03-18
Daniela,Teclado,Belo Horizonte,2.0,500.0,2023-03-15
Daniela,Webcam,Belo Horizonte,5.0,100.0,2023-01-03
Gabriel,Mouse,São Paulo,2.0,100.0,2023-06-21
Carlos,Notebook,Curitiba,2.0,300.0,2023-03-08
Ana,Notebook,Rio,1.0,100.0,2023-02-23
Gabriel,Webcam,Curitiba,4.0,200.0,2023-01-09
Ana,Headset,São Paulo,4.0,500.0,2023-01-24
Gabriel,Mouse,Curitiba,2.0,,2023-03-25
Eduardo,Notebook,Rio,4.0,500.0,2023-03-27
Bruno,Headset,Rio,3.0,,2023-01-25
Gabriel,Headset,Rio,5.0,500.0,2023-05-25
Eduardo,Headset,Belo Horizonte,2.0,500.0,2023-05-19
Helena,Monitor,São Paulo,4.0,,2023-05-25
Eduardo,Monitor,Belo Horizonte,2.0,200.0,2023-06-09
Ana,Monitor,Curitiba,1.0,100.0,2023-02-08
Carlos,Notebook,Salvador,3.0,500.0,2023-05-14
Gabriel,,Salvador,5.0,100.0,2023-02-22
Daniela,,São Paulo,4.0,,2023-06-14
Bruno,Mouse,Curitiba,,200.0,2023-01-10
Daniela,Webcam,São Paulo,5.0,1000.0,2023-02-18
Bruno,Monitor,Salvador,,1000.0,2023-05-15
Ana,Notebook,Belo Horizonte,2.0,300.0,2023-03-15
Gabriel,Headset,,3.0,100.0,2023-05-09
Ana,Monitor,Salvador,2.0,300.0,2023-05-18
Gabriel,Notebook,Belo Horizonte,4.0,500.0,2023-04-20
Bruno,Monitor,Belo Horizonte,4.0,500.0,2023-02-02
Gabriel,Teclado,Salvador,4.0,100.0,2023-02-04
Carlos,Mouse,Curitiba,5.0,,2023-02-03
Gabriel,Notebook,São Paulo,5.0,500.0,2023-03-24
Eduardo,Headset,Curitiba,1.0,100.0,2023-02-28
Fernanda,Headset,Rio,5.0,,2023-06-11
Gabriel,Teclado,Curitiba,1.0,200.0,2023-05-17
Bruno,Teclado,Belo Horizonte,5.0,500.0,2023-02-11
Carlos,Mouse,Salvador,,100.0,2023-01-25
Eduardo,,Curitiba,3.0,100.0,2023-04-03
Fernanda,Monitor,Belo Horizonte,4.0,200.0,2023-04-27
